Last Update,Coin,Ask L1 Price,Ask L2 Price,Ask L3 Price,Ask L4 Price,Ask L5 Price,Ask L6 Price,Ask L7 Price,Ask L8 Price,Ask L9 Price,Ask L10 Price,Ask L1 Size,Ask L2 Size,Ask L3 Size,Ask L4 Size,Ask L5 Size,Ask L6 Size,Ask L7 Size,Ask L8 Size,Ask L9 Size,Ask L10 Size,Ask L1 Cumulative BTC,Ask L2 Cumulative BTC,Ask L3 Cumulative BTC,Ask L4 Cumulative BTC,Ask L5 Cumulative BTC,Ask L6 Cumulative BTC,Ask L7 Cumulative BTC,Ask L8 Cumulative BTC,Ask L9 Cumulative BTC,Ask L10 Cumulative BTC,Bid L1 Price,Bid L2 Price,Bid L3 Price,Bid L4 Price,Bid L5 Price,Bid L6 Price,Bid L7 Price,Bid L8 Price,Bid L9 Price,Bid L10 Price,Bid L1 Size,Bid L2 Size,Bid L3 Size,Bid L4 Size,Bid L5 Size,Bid L6 Size,Bid L7 Size,Bid L8 Size,Bid L9 Size,Bid L10 Size,Bid L1 Cumulative BTC,Bid L2 Cumulative BTC,Bid L3 Cumulative BTC,Bid L4 Cumulative BTC,Bid L5 Cumulative BTC,Bid L6 Cumulative BTC,Bid L7 Cumulative BTC,Bid L8 Cumulative BTC,Bid L9 Cumulative BTC,Bid L10 Cumulative BTC,Mark Price,Oracle Price,Funding Rate,Open Interest,24h Volume,Trade Side,Trade Price,Trade Size
"2/3/2025, 9:46:03 AM",BTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buy (Bid),94006.0,0.00399
"2/3/2025, 9:46:04 AM",BTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buy (Bid),94006.0,0.00207
"2/3/2025, 9:46:03 AM",BTC,94006.0,94010.0,94011.0,94012.0,94013.0,94014.0,94015.0,94018.0,94019.0,94020.0,2.20297,1.40932,1.311,0.861,1.20912,0.117,2.39979,0.1969,1.13636,12.40065,2.2030,3.6123,4.9233,5.7843,6.9934,7.1104,9.5102,9.7071,10.8435,23.2441,94005.0,94002.0,93999.0,93994.0,93992.0,93991.0,93990.0,93989.0,93987.0,93985.0,0.91192,0.00033,0.89,0.784,0.21223,0.53196,1.01386,0.231,0.25059,0.72732,0.9119,0.9123,1.8022,2.5862,2.7985,3.3304,4.3443,4.5753,4.8259,5.5532,94010.0,93950.0,0.00001825,9747.61122,4653358683.71844864,,,
"2/3/2025, 9:46:04 AM",BTC,94006.0,94010.0,94011.0,94013.0,94015.0,94016.0,94019.0,94020.0,94021.0,94022.0,2.94767,0.861,1.311,0.09812,7.61175,0.1969,0.924,11.05128,0.97901,1.39461,2.9477,3.8087,5.1197,5.2178,12.8295,13.0264,13.9504,25.0017,25.9807,27.3753,94005.0,94002.0,94000.0,93998.0,93997.0,93994.0,93992.0,93991.0,93990.0,93989.0,1.034,0.00033,0.21223,0.01,0.03192,0.784,0.21223,0.53196,0.48173,0.231,1.0340,1.0343,1.2466,1.2566,1.2885,2.0725,2.2847,2.8167,3.2984,3.5294,94010.0,93950.0,0.00001825,9747.61122,4653358683.71844864,,,
"2/3/2025, 9:46:04 AM",BTC,94006.0,94008.0,94009.0,94010.0,94011.0,94013.0,94015.0,94017.0,94020.0,94021.0,3.02208,0.15945,0.15945,0.861,1.2862,0.09812,7.65669,0.1969,10.15901,0.18081,3.0221,3.1815,3.3410,4.2020,5.4882,5.5863,13.2430,13.4399,23.5989,23.7797,94005.0,94002.0,94000.0,93998.0,93997.0,93994.0,93992.0,93991.0,93990.0,93989.0,1.03437,0.00033,0.21223,0.01,0.03192,0.784,0.21223,0.53196,0.48173,0.231,1.0344,1.0347,1.2469,1.2569,1.2888,2.0728,2.2851,2.8170,3.2988,3.5298,94005.0,93944.0,0.00001826,9747.61122,4653358683.71844864,,,
"2/3/2025, 9:46:05 AM",BTC,94006.0,94008.0,94010.0,94011.0,94012.0,94013.0,94015.0,94018.0,94020.0,94022.0,0.30961,0.02116,0.63,0.76333,3.19084,0.09812,4.74521,0.1969,0.18682,2.45749,0.3096,0.3308,0.9608,1.7241,4.9149,5.0131,9.7583,9.9552,10.1420,12.5995,94005.0,94002.0,94001.0,94000.0,93998.0,93997.0,93994.0,93992.0,93991.0,93990.0,5.2282,0.21308,0.16057,0.21223,0.01,3.30749,0.784,0.21223,0.53196,0.48173,5.2282,5.4413,5.6018,5.8141,5.8241,9.1316,9.9156,10.1278,10.6598,11.1415,94005.0,93944.0,0.00001826,9747.61122,4653358683.71844864,,,
"2/3/2025, 9:46:06 AM",BTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buy (Bid),94006.0,0.00012
"2/3/2025, 9:46:06 AM",BTC,94006.0,94016.0,94017.0,94024.0,94025.0,94026.0,94030.0,94031.0,94035.0,94036.0,0.15897,0.14203,0.09812,0.2143,0.53179,1.4467,0.16195,4.38849,1.16171,0.27318,0.1590,0.3010,0.3991,0.6134,1.1452,2.5919,2.7539,7.1424,8.3041,8.5772,94005.0,94004.0,94002.0,94001.0,94000.0,93999.0,93998.0,93997.0,93995.0,93994.0,8.6936,0.02732,0.21308,0.93164,0.70691,0.7982,0.01,3.30749,0.36664,0.784,8.6936,8.7209,8.9340,9.8656,10.5725,11.3707,11.3807,14.6882,15.0549,15.8389,94005.0,93944.0,0.00001826,9747.63684,4653359887.35885906,,,
"2/3/2025, 9:46:06 AM",BTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buy (Bid),94006.0,0.00016
"2/3/2025, 9:46:06 AM",BTC,94006.0,94019.0,94020.0,94022.0,94024.0,94025.0,94026.0,94030.0,94031.0,94035.0,0.03524,0.0744,0.21434,0.15943,0.3569,0.69121,1.4467,0.58707,0.27023,1.16171,0.0352,0.1096,0.3240,0.4834,0.8403,1.5315,2.9782,3.5653,3.8355,4.9972,94005.0,94004.0,94002.0,94001.0,94000.0,93998.0,93997.0,93996.0,93995.0,93994.0,13.50126,0.10173,0.37254,1.13078,0.50777,0.01,3.52001,0.01224,0.79191,0.784,13.5013,13.6030,13.9755,15.1063,15.6141,15.6241,19.1441,19.1563,19.9482,20.7322,94005.0,93944.0,0.00001826,9747.6548,4653363198.5444994,,,
"2/3/2025, 9:46:07 AM",BTC,94020.0,94024.0,94025.0,94030.0,94031.0,94033.0,94035.0,94036.0,94038.0,94039.0,0.21434,0.3569,0.53179,0.43612,0.27023,4.24746,4.31468,0.07628,0.53067,0.1969,0.2143,0.5712,1.1030,1.5392,1.8094,6.0568,10.3715,10.4478,10.9785,11.1754,94019.0,94018.0,94010.0,94007.0,94006.0,94005.0,94004.0,94003.0,94002.0,94001.0,0.58685,0.55261,0.21223,0.00032,0.0003,15.56883,0.10173,0.19914,0.37254,0.93164,0.5868,1.1395,1.3517,1.3520,1.3523,16.9211,17.0229,17.2220,17.5946,18.5262,94005.0,93944.0,0.00001826,9747.6548,4653363198.5444994,,,
"2/3/2025, 9:46:07 AM",BTC,94020.0,94022.0,94024.0,94025.0,94026.0,94030.0,94031.0,94033.0,94034.0,94035.0,0.28874,0.15943,0.3569,0.53179,0.02116,0.43612,0.27023,6.2562,0.21223,4.31468,0.2887,0.4482,0.8051,1.3369,1.3580,1.7941,2.0644,8.3206,8.5328,12.8475,94019.0,94018.0,94017.0,94016.0,94015.0,94011.0,94010.0,94008.0,94007.0,94005.0,4.43268,2.02579,1.16185,0.53185,0.03173,0.16055,0.48173,0.154,0.63,9.35145,4.4327,6.4585,7.6203,8.1522,8.1839,8.3445,8.8262,8.9802,9.6102,18.9616,94005.0,93944.0,0.00001826,9747.6548,4653363198.5444994,,,
"2/3/2025, 9:46:08 AM",BTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buy (Bid),94020.0,0.00416
"2/3/2025, 9:46:08 AM",BTC,94020.0,94022.0,94024.0,94025.0,94026.0,94027.0,94030.0,94031.0,94032.0,94033.0,0.56944,0.15943,4.8156,0.53179,0.02116,4.65354,0.43612,0.27023,1.50599,6.2562,0.5694,0.7289,5.5445,6.0763,6.0974,10.7510,11.1871,11.4573,12.9633,19.2195,94019.0,94018.0,94017.0,94016.0,94010.0,94009.0,94008.0,94007.0,94005.0,94004.0,3.01451,0.92219,0.63,0.01,0.69396,0.7,0.154,0.63,2.36654,1.52208,3.0145,3.9367,4.5667,4.5767,5.2707,5.9707,6.1247,6.7547,9.1212,10.6433,94008.0,93947.0,0.00001826,9747.66312,4653363589.42225933,,,
"2/3/2025, 9:46:08 AM",BTC,94020.0,94022.0,94024.0,94025.0,94026.0,94027.0,94030.0,94031.0,94032.0,94033.0,1.5263,0.15943,4.8156,0.53179,0.02116,4.65354,0.43612,0.27023,1.50599,6.2562,1.5263,1.6857,6.5013,7.0331,7.0543,11.7078,12.1439,12.4142,13.9202,20.1764,94019.0,94018.0,94017.0,94016.0,94011.0,94010.0,94009.0,94008.0,94007.0,94005.0,3.02128,0.88,0.63,0.01,0.21223,0.48173,0.7,0.154,0.63,2.29213,3.0213,3.9013,4.5313,4.5413,4.7535,5.2352,5.9352,6.0892,6.7192,9.0114,94008.0,93947.0,0.00001826,9747.66312,4653363589.42225933,,,
